title,issn,cn,sponsor,compound_if,comprehensive_if,tags,categories,major_categories,detail_url
"阿拉善盟行政公署公报","","","阿拉善人民政府","","","","中国政治与国际政治","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO7n1SNK9reethuMCBkl5UNkOd9H57p068iBsIwPz-85uslRGzcJwvwBESElYLVob_srBdOhpgqOcFRxf_7RGNuuqJuLeCG9O95xoZDzXur3A==&uniplatform=NZKPT&language=CHS"
"阿来研究","","","四川大学阿来研究中心","","","","中国文学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINafHXIdceeO13pj2OLaHLmR-dQS5YNncYigar3XWgaGaMtew7Wwb25m2MhhnIRDvkbfBrLzrQ0bE5sJtQXVF20yO0wW5dbuvbhW6wuxkKp6A==&uniplatform=NZKPT&language=CHS"
"癌变·畸变·突变","1004-616X","44-1063/R","中国环境诱变剂学会","0.822","0.523","网络首发|增强出版","肿瘤学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINugRN4VsnwclI4OFHIA5c2t1LTiXzfzbF6AEfxyecsDsWBtksIOKpoMbvxkdZdkQM4cO8As2y4Jzp6ltNaNUKvQQwCc38318eKgdkU7K_fIQ==&uniplatform=NZKPT&language=CHS"
"癌症","1000-467X","44-1195/R","中山大学肿瘤防治中心","2.729","1.948","网络首发","肿瘤学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOrPqFXsK1gX6e-9rDfrVDb609LGoSGxsWy7mQb0PlY4_SfhrtxFeJ90ovaoeE0JranlpnufTKcRL88mqTIzm3q86UD3YxS-6ixQHd8nvwLdQ==&uniplatform=NZKPT&language=CHS"
"癌症进展","1672-1535","11-4971/R","中国医学科学院","0.983","0.837","网络首发","肿瘤学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINugRN4VsnwclI4OFHIA5c2t1LTiXzfzbF6AEfxyecsDsWBtksIOKpoMbvxkdZdkQNQMi9RMprYJl2a_-hIW4RA87HGCxLOIHWisKfoeucOtA==&uniplatform=NZKPT&language=CHS"
"爱你","1674-0513","43-1477/G0","湖南教育报刊集团有限公司","","","","中国文学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINafHXIdceeO13pj2OLaHLmR-dQS5YNncYigar3XWgaGaMtew7Wwb25m2MhhnIRDvkSvtlxpnTfrUJMjbcurbAkYaRiTVRAsjZ6qEgxrCO2-Q==&uniplatform=NZKPT&language=CHS"
"爱人","1009-8100","61-1380/C","陕西省出版印刷公司","","","","文化","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINovTsUzquCft_GxY6u8aXi-5pRZSE8-aqS7BmJRfEklWzmpcsHsXgr3ZDj67pnnzGf2sTIziO3h8Voxuj29RZYmqDhtMoGyj7qwsyUjSqegQ==&uniplatform=NZKPT&language=CHS"
"爱尚美术","2096-3254","37-1511/J","山东出版传媒股份有限公司","","","","美术书法雕塑与摄影","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPdaNl4CzS1rSsgUUO5y08BeLocTER9ZXrVnfCuCLvv5aBjayzmj-evrKD07_r3_sFnbpa0JgDifva70ur7rJzpU_mmVOLvZSlN3S92BxcPFA==&uniplatform=NZKPT&language=CHS"
"安防科技","1671-4237","61-1387/N","中国国际商会陕西汽车商会","","","","安全科学与灾害防治","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINrx8ETGzCoThVNBlBjZIZoFWvNKibsTwFhILq0mmBK7XQ_rySN91rg1cowb6X8jzkmSmp7YFknLCurMpm5_PbecpICRRsPJqIGsLcj3VOuBg==&uniplatform=NZKPT&language=CHS"
"安徽大学法律评论","","","安徽大学法学院","","","","政治军事法律综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPxoZc7XB1w9oaQvvx6Qb2D49BZI_mE_BaNAGwBRT97YQguUFt883jtVK2ffwdi19axFAcjGGkzMRTmEOrIToGUgJv61Zp4pbmLkFfvp1G4Tw==&uniplatform=NZKPT&language=CHS"
