title,issn,cn,sponsor,compound_if,comprehensive_if,tags,categories,major_categories,detail_url
"计算机应用","1001-9081","51-1307/TP","四川省计算机学会;中国科学院成都分院","3.340","1.602","网络首发|增强出版","计算机软件及计算机应用","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMYDaPzwgWqsbNKzqM3tsupPqqiR1atXxRxtbb5ZI5LoOsS_u0GCHQMVA0DXEHFcXsKPPb4G7adPp67YaV0pvPsblf739pSSQdJOYZrO-fTfA==&uniplatform=NZKPT&language=CHS"
"计算机应用研究","1001-3695","51-1196/TP","四川省计算机研究院","2.845","1.459","网络首发","计算机软件及计算机应用","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPqM-07gfPDl-YA9VvtkM10scHpl69aKumLiT7dGzplxyyI9JdZTYQW3goutvSdNGaiVpHkLrlBNECr-25JVJIETplf6tX8eP96UwZCVjkkUw==&uniplatform=NZKPT&language=CHS"
"计算机应用与软件","1000-386X","31-1260/TP","上海市计算技术研究所;上海计算机软件技术开发中心","1.520","0.766","网络首发","计算机软件及计算机应用","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPqM-07gfPDl-YA9VvtkM10scHpl69aKumLiT7dGzplxyyI9JdZTYQW3goutvSdNGbV1x4BuykbZRIn71KXMR4S9ISaxSFbSVhyy-Ael3wj5Q==&uniplatform=NZKPT&language=CHS"
"计算机与数字工程","1672-9722","42-1372/TP","中国船舶重工集团公司第七0九研究所","0.942","0.420","网络首发","电子信息科学综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOZDTmoj-2BX-IIB1sxmn4Vb20Gu36o899tCzff0SOPt09-uP1XSO6hwr4W0iNP4OrLFyPlz2AMqTudaySyexjqnjBaS0l_6olzeEKwmNla6A==&uniplatform=NZKPT&language=CHS"
"计算机与网络","1008-1739","13-1223/TN","中国电科网络通信研究院(中国电子科技集团公司第五十四研究所)","","","","电信技术|计算机软件及计算机应用","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMaEaWNO6RG8YQJ_-4OhXeZjPNR6QWCbSEAY_O15DkGaD1yuuUeJ5WFH1wi-MFrZzYDDDtrlJpbldLRjGhsNEimmlSLNtsbQNuA28eK27akLg==&uniplatform=NZKPT&language=CHS"
"计算机与现代化","1006-2475","36-1137/TP","江西省计算机学会;江西省计算中心","1.399","0.725","网络首发","电子信息科学综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOWSn9q4L81BHRQgMm0Ol2yOimVMcw6JKFch3SBUwuUSLrdg0zr96CWr2HDXhSIPob_g03fEVVQgyS3dzKAvx0PvElA5LjMEJQFfN-T7kZ4eg==&uniplatform=NZKPT&language=CHS"
"计算机与应用化学","1001-4160","11-3763/TP","中国科学院过程工程研究所","","","网络首发","化学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMA-CnSBJDaTC7xaw2sO24vmNI7PJ6pveAreBfHbPp9h2-LMjMPXlDMSiZUBKfrv9potNjjDslx8BKA87fs4KA2LHGYdm1dslHCAfqVCfB08g==&uniplatform=NZKPT&language=CHS"
"计算机周刊","1007-466X","31-1427/TP","长江计算机(集团)公司","","","","电子信息科学综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINEtS2-jcOOw6zizguepnP0UhYHhjEgCPgwzrarH3HUaM-S2g0DtOrclXJNXU4Dp8DAEWnPwe-6yQL3Ob070QofuwrXloLLKaHuNEZdY8hKFQ==&uniplatform=NZKPT&language=CHS"
"计算技术与自动化","1003-6199","43-1138/TP","湖南大学","1.075","0.636","网络首发","计算机软件及计算机应用|自动化技术","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIP787sjXAN3zJRFG0Utd8lMoZpVu3T6tqfiAsXifyET4ILZm1fyABTO30HuDwXPqj1-KyJNIPT9_vyOA7oIe2Ri9Vkb_cIqFXFySyIeIWyw4w==&uniplatform=NZKPT&language=CHS"
"计算力学学报","1007-4708","21-1373/O3","大连理工大学;中国力学学会","1.522","0.896","网络首发","力学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPWhiqFnFCHRCSCTrobs4wT60ZG7xtzzvjrIK_3gzdv5II_aV-BbDIt3JDLLhQlNgODVhplATnQTVGe3dvZXHGKabYsmA1BlmLGyJuu_fxD2A==&uniplatform=NZKPT&language=CHS"
"计算数学","0254-7791","11-2125/O1","中国科学院数学与系统科学研究院","0.449","0.319","网络首发","数学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINEjLCZsFXPus5LffLmekBD7aoJ8A83EUTFkTxoE9A9OO9lilKz3twXVhcZScX0QPF37SD7FoO1WUmDFxRg5uNenj16-RrJO3SHiRZWxkJpsw==&uniplatform=NZKPT&language=CHS"
"计算物理","1001-246X","11-2011/O4","中国核学会","1.053","0.770","网络首发|增强出版","物理学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN59dKVjeiwWlOyNUbqy4A31hQF4jLn3ve7wlDchzKmpGRq-wouILUdti7nFG4itstH1JX0KfUeCLYY4Ih6auUnBRhjjCF2tVwz9vObyKHc4g==&uniplatform=NZKPT&language=CHS"
"记录媒体技术","1672-1268","11-4992/TP","清华大学光盘国家工程研究中心","","","","计算机硬件技术","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMfzPaAY1-PHb0aBl2UnRbK5Ff48oYH_WGKq0-AywtzlFNylka-googfkdEGIbJn9__EZp09K17BFPEd7UtrhRzp4Y7dkvN0u2cFG9TyUOWww==&uniplatform=NZKPT&language=CHS"
"记者观察","1004-3799","14-1155/G2","山西文化艺术传媒中心","","","增强出版","电子信息科学综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOOKQ_GltO_t4sneMpm-iWyxPggHVXKTkEBaq2GEcgg3DZbdTKec8Y8jSWWlWQUB7yUELzVmnhSiDB16qKFC5FLDa8zVGmB-IPHQMvK-KrJ7g==&uniplatform=NZKPT&language=CHS"
"记者摇篮","2096-3858","21-1032/G2","辽宁报刊传媒集团(辽宁日报社);辽宁省新闻工作者协会","0.094","0.022","","新闻与传媒","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMO-tMHz2iOCAT0lYJuWcUWR2ktDl00Tphj0tSBKAVlQ0UYhghjHazO-iFEoo_xS5audZrPYfepH9Qg63tTND1xtdpiauqQ-28r_UNir_O_zg==&uniplatform=NZKPT&language=CHS"
"纪检监察研究与探索","","","福建师范大学廉政研究院;福建师范大学纪检监察学院","","","","中国共产党","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO3dd3aVPCDGqCYTgsd95OVt7pe65Bht2NQtsf8Xkiv6-MGmYHya_AsBF2kjIEJGVjj9yq_sHif3ySLfnniVQj4dfeVXc-Uz4jJIa8idXZr_w==&uniplatform=NZKPT&language=CHS"
"纪念馆研究","2097-292X","10-1895/C","中国人民抗日战争纪念馆;北京出版集团","","","网络首发|增强出版","档案及博物馆","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIP6dPF2t92kgt4Cs68aiObXNEINCvVUaovGAsZof-0G2VQkrXi5juNjLIJCMhi_kfoe7AkGBFAcMO5mARenY2MI8nkSOTpFu8Qq29Qrg8xRoA==&uniplatform=NZKPT&language=CHS"
"技术法治研究","","","湖南工业大学法学院","","","","行政法及地方法制","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM2cYpVlvmUkxjSxvbLVHKVVQMqw5Q8qLxNB_ao6bKNtzIO4yFY81Sus6ZAg-2jrAiAEDDb6gF3aFsI2Wi3YeQZE0DJNS96YbBLnxvqNP7c6w==&uniplatform=NZKPT&language=CHS"
"技术监督实用技术","1004-9150","34-1108/T","中国技术监督情报协会","","","网络首发","工业通用技术及设备|宏观经济管理与可持续发展","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMAIsKRG8VmHz09wU_sg7ojmyl6500IOnqPMUmNMr4Ox-AZL_PfByRC5Kdl7ZIJff2MA_iaTj_FI55V_LzlFxu-18YJK4MSnwcp4zk0-ymb2w==&uniplatform=NZKPT&language=CHS"
"技术经济","1002-980X","11-1444/F","中国技术经济学会","7.264","3.891","网络首发|增强出版","宏观经济管理与可持续发展","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMjUywD2VKf4kERojiPT9i1YTkAOR9mT9NQcWOKsB3LrbXgB0LPIaJ-IcBUul3QNz8AXOkZWlZXI18U-F1_ZCtjb9KZNKuK8wgRisIJLppGQw==&uniplatform=NZKPT&language=CHS"
"技术经济与管理研究","1004-292X","14-1055/F","山西社会科学报刊社","5.125","2.382","网络首发","宏观经济管理与可持续发展","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMjUywD2VKf4kERojiPT9i1YTkAOR9mT9NQcWOKsB3LrbXgB0LPIaJ-IcBUul3QNz9nU3Aknz5K84xnPpU2ZwbOL-MrF2KKCPEcNdmlGv0mjg==&uniplatform=NZKPT&language=CHS"
"技术与创新管理","1672-7312","61-1414/N","西安科技大学;陕西高等学校科研管理协会","1.941","1.130","","基础科学综合|高等教育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPEvdSEt-3yUP_w5ZWVxm0O5dZJFG1jctLN9ibanMif9YTOkXiqTcpeN3p9Qq-F4ynC42QB8IB6TObdrIzZz2bub8lodgHSF64acd-XEW84Vg==&uniplatform=NZKPT&language=CHS"
"技术与市场","1006-8554","51-1450/T","四川省科学技术信息研究所","0.451","0.184","网络首发|增强出版","综合科技a类综合|贸易经济","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMSfd82f9YcDY5S-1jGYm_Vxw6R19aOFfpBHkyYzVRAr5P1Be_9Mq2ydqwI6Nt4zMyEztePJe0RI3NqwKCS7wh8L_sYaTx-IeXM9tyPDpP2Ng==&uniplatform=NZKPT&language=CHS"
"技术与市场(园林工程)","1006-8554","51-1450/T","四川省科技信息研究所","","","","建筑科学与工程|市场研究与信息","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMMCS-e2ULV4GyP6s9Tm7EJ6aibxo1m_rsVvlMDFrH_FvyTLWP6k_t-Cirip9AcLeSvbxUWnOzFpShcy_aKG1koKIJ2pqojviJs8uGKQ3pPhQ==&uniplatform=NZKPT&language=CHS"
"济南大学学报(社会科学版)","1671-3842","37-1377/C","济南大学","3.307","1.683","网络首发","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOUswIAUS3NQ0mfFwoUlv4vhIgB3F0V-jUb_NzQEHHOwe0OiZPxj-KVEeVy8cf04RdnGvtvmIGrgNr6bYUQ3Gkz-NcazXtKqhwwG9fH2SDxyQ==&uniplatform=NZKPT&language=CHS"
"济南大学学报(自然科学版)","1671-3559","37-1378/N","济南大学","1.833","0.966","网络首发","综合科技b类综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPMjAzRCcvzmV0_VSfXp2x8U_IphMUB44eNzi223CVqXIcVWDTFlg10gfGdcrWSvc8zk6RLtgrlO_Mp4R3e7qET0jbRMz2RALLsdbX-Q7eRBQ==&uniplatform=NZKPT&language=CHS"
"济南市人民政府公报","","","济南市人民政府","","","","中国政治与国际政治","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOq6zycS-p910zKRI5GMMjrCpsSses5lzzHhyM9vd1M7-txD6Jmd7FHfAqbTkANIE6LZ3u3EeBTWgA2FbUr-AkOssXA-i72AJLjFDzYHHrH8Q==&uniplatform=NZKPT&language=CHS"
"济南职业学院学报","1673-4270","37-1434/Z","济南职业学院","0.195","0.113","网络首发","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINC-S8SyWT85KXsmuGYRLGVr45QxtftU6gCZD3gYC1RtBToZBddpJWvQfeurxiqdR8vYzUJM0Sp_BSJz0Qtmw_Rqaty_-hzXBLyMnkkRSw5kQ==&uniplatform=NZKPT&language=CHS"
"济宁学院学报","1004-1877","37-1461/G4","济宁学院","0.254","0.078","","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPlRKt40lf3mAwXoqVsySt6qVgAdpnG5TfvOyVbzb9_6K6lzAU6uq15dU5fNYOBLOwFqvs0gjTBfaK3EUrZ7oXi7oU56JiGY5fY9fdJk_dc_A==&uniplatform=NZKPT&language=CHS"
"济宁医学院学报","1000-9760","37-1143/R","济宁医学院","1.096","0.797","网络首发","医药卫生综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPjcQ1xC6s0t8Otms8pdWKBBTGgKdrS0CiIoRrY4NeCuWtSm4c_v9V5YrH1DZO7OqlhS6SIHXA6g2Fjsf0Y1sgKrwMPLAwtVxb5pcbHTOnsUg==&uniplatform=NZKPT&language=CHS"
"济源职业技术学院学报","1672-0342","41-1349/Z","济源职业技术学院","","","","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPnlP7_eK64-Wf4QxjlURTAJ1fnKK7m99PQga9snQSMEkblglsWgQYTtxMFRhzxb5YRhWA0SYubzrovGSUW7IJgjc326xcxKUhkj6DEWYyVow==&uniplatform=NZKPT&language=CHS"
"继续教育","1006-9720","11-3315/G4","总装备部继续教育中心","","","","成人教育与特殊教育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMsgjxyoph_AfP3TVi7K67XNCED7mgBPpcsdiz-i6Kf8lvfl9btoWrRYcIS_C8NHGYRt8WF7mLidy4KCK_vk5JXEUZJlHWGV6p4fQ_Ins5TiA==&uniplatform=NZKPT&language=CHS"
"继续教育研究","1009-4156","23-1470/G4","哈尔滨师范大学","1.019","0.566","网络首发|增强出版","成人教育与特殊教育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOBKLHJEkQbEWWNXzaofu4aBFDfn9etGh7ElzVR-Pa6fZARAa4K5sgVbhJDM1_N00Fx4itfH8_nr3ZUZsH2Y2ky7sph3tCjXP7xYk3hZ1UqFA==&uniplatform=NZKPT&language=CHS"
"继续医学教育","1004-6763","12-1206/G4","天津医学高等专科学校","0.977","0.905","网络首发","医学教育与医学边缘学科","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINDwiJueM1mg3xacC0n6uPkLy4C-JIGpnY-ZoeqkqfRyVOocPnwfNgmDNDCzGKCqHwuNhcdbZZv-TlUY_75iDlgshfFJnC1sDn8beLaNkri1Q==&uniplatform=NZKPT&language=CHS"
"寄生虫病与感染性疾病","1672-2116","51-1636/R","四川省疾病预防控制中心","1.168","1.032","网络首发","感染性疾病及传染病","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO-lRXzrHHfNheJ8Ive7wOC7-3vaUGmHGTa-nNnZ-xeX-5ZxZVZhMR8Nm-1DY_1rgwNqY9yQfOHQ0NcBIocGPI-7B0TlltK19iz7yPRRcI7Hw==&uniplatform=NZKPT&language=CHS"
"寄生虫与医学昆虫学报","1005-0507","11-3158/R","军事科学院军事医学研究所","0.912","0.750","网络首发","基础医学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINlgXkO2WTHooq-eliPpMhOVJYXJWtzTktnBXEMAeVjqugswHbMHHWAGnFtNEBvyen2u-XJl2BBH5Kxf9Vq4XhG-8Tu5yO5c5_xhtmuFxQy_A==&uniplatform=NZKPT&language=CHS"
"暨南大学学报(自然科学与医学版)","1000-9965","44-1282/N","暨南大学","1.247","0.974","网络首发","医药卫生综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPagW0s0tfz6yC0ZV3lJrajOAYbgFG-r0B-D17la5fYFySu-p8ONTUJYxmr03G6o9moxku9oCGm-jkOBNdAmZ5LafN2WDh8LJHnzBocqgwH-g==&uniplatform=NZKPT&language=CHS"
"暨南史学","","","暨南大学中外关系研究所","","","","中国古代史","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINxy7-dOG_dKTfU3cDKU7Em6gpyjdj8wdZjOuXxt66R1Bo6CvR-KWPKori2kE9_WGnDtTgdg6h42Fd5cz18uWeE7csqtPnUdyZR1Z98d2gNKw==&uniplatform=NZKPT&language=CHS"
"暨南学报(哲学社会科学版)","1000-5072","44-1285/C","暨南大学","4.362","2.357","网络首发|增强出版","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINxC14krnuxR5eIgWrYBqlfMXB1YyzoeRdcTPJhCxZJ6qACa6JS0G1GjPO97npx72B55e_lyx7meeApsuGVk-zJS4_u0KYmsx3YG9xOmX38Lg==&uniplatform=NZKPT&language=CHS"
"加速康复医学杂志","2097-6720","10-2042/R","人民卫生出版社有限公司","0.310","0.268","","临床医学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPbg66qUtmvhIleHj3tyECJULuvCvag0TBxlO86mqe5UfUop1YHh4C6SEsjo7NyConiW8nJqCdnGlpyZp2nOvzXHAPILcoqIHiuqMdmDI3dNg==&uniplatform=NZKPT&language=CHS"
"佳木斯大学社会科学学报","1007-9882","23-1412/C","佳木斯大学","0.334","0.165","","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOcbTZ6BCpIC8VnunPLFYJ0k1VyGq3EZKlqeWYBAMxzcg7JvORGriNGMz6K3G_xIi13c31CzZYy3LjcS6qQfB3UTUeBIHHOFHLDmwcf-lGMGA==&uniplatform=NZKPT&language=CHS"
"佳木斯大学学报(自然科学版)","1008-1402","23-1434/T","佳木斯大学","0.420","0.257","网络首发","综合科技b类综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOtCXIyo2qQpShZVF9NlO13cMsA6YnsRKaAXsprUzbIKPO5z4-ftN_5pXW1_f1YDbfRNYKLjAVC6sy8JKmLMy2DC7HoY5o2sTY3Cqh9RjTFcw==&uniplatform=NZKPT&language=CHS"
"佳木斯职业学院学报","2095-9052","23-1590/G4","佳木斯职业学院","0.300","0.113","","教育理论与教育管理","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOjGVtusgMtemtcNrpQxWqH_KhS5GYFXXmu7SbZAEz3i5rDltRH7IzWeFqYnI57gSlQGA_Yqy-dT1t_zmvJ1GQt3cYI5MIad5pt4Ibv1i5Vgg==&uniplatform=NZKPT&language=CHS"
"家畜生态学报","1673-1182","61-1433/S","西北农林科技大学","1.849","1.305","网络首发","畜牧与动物医学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMzzquo_6-pc5Rmciu359vxOEa_ZxSz5YRCq_MZPGOkBw3CjNkSjW-8WwlLrsIZazS3Z7nw7zny0NI1htduRkKHnsNC2orUl_QiPXpUfoalSw==&uniplatform=NZKPT&language=CHS"
"家电检修技术","1007-8673","22-1240/TM","长春出版社","","","","电力工业","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOSMwk26KRNR0xEwMngEDfc0AlVVuycVG4RgtnAq5wu_HbsB5WiyWFHeUT1cMJcMo1yFPpuT3MpyYC7GTdDLvbbZB2gaGOw6WjUj-uwyZ6HvA==&uniplatform=NZKPT&language=CHS"
"家电科技","1672-0172","11-4824/TM","中国家用电器研究院","0.367","0.137","网络首发","电力工业","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOgbQo89Y3S7Mm88szOP_aOLWekDZJsa_u3kVMmak8AqrEdBsND-94lrMKWQbd5-OSukdhZNt3TRy2EVDMT55-JhEQwWGdJenyMLsU0FJQ-zA==&uniplatform=NZKPT&language=CHS"
"家电维修","1002-5022","11-2505/TS","教育部教育技术与资源发展中心(中央电化教育馆)","","","","电力工业","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOSMwk26KRNR0xEwMngEDfc0AlVVuycVG4RgtnAq5wu_HbsB5WiyWFHeUT1cMJcMo0C-I9JOb-shsUfaCL8Fq4XQrycMBn0ctg481sw0QyL4g==&uniplatform=NZKPT&language=CHS"
"家教博览","1009-2285","46-1040/G4","海南省教育厅","","","","成人教育与特殊教育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMsgjxyoph_AfP3TVi7K67XNCED7mgBPpcsdiz-i6Kf8lvfl9btoWrRYcIS_C8NHGYcaJdzlNCzBGfip99ms7kK0WM-ImtpH0-oq12_QuFBVA==&uniplatform=NZKPT&language=CHS"
"家教世界","1009-8453","34-1266/G4","《恋爱婚姻家庭》杂志社","","","","初等教育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM3LsW1NsKpd8MkEbKY1-3aZbvxZCf_uvaUcpJsR4JoAQhsa441c6Xzth4jRQruhBecGrDxIfW8_Lzr4WxBHuJe7O3saXSqsz0CUpxI--yCHA==&uniplatform=NZKPT&language=CHS"
"家教指南","","22-0862/C","国家基础教育实验中心;吉林省教育学会社区与家庭教育专业委员会","","","","成人教育与特殊教育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMsgjxyoph_AfP3TVi7K67XNCED7mgBPpcsdiz-i6Kf8lvfl9btoWrRYcIS_C8NHGaA8NJ9QJPFLcOR88T6H_jylasTSB8gx5v5bniPSDpx8A==&uniplatform=NZKPT&language=CHS"
"家具","1000-4629","31-1295/TS","中国家具工业信息中心;中国家具协会","1.098","0.836","","轻工业手工业","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOvoBzhDbI1wndPUosNQCOZhmeCSzoj4kxdSUjcS4kjHId8K8RqAJMz34Zqvs66CPFPYU_GfeE2X5QjaJ7lLSqCwBcfwlg04l6XBeuPh8w3UA==&uniplatform=NZKPT&language=CHS"
"家具与室内装饰","1006-8260","43-1247/TS","中南林业科技大学","3.864","2.758","网络首发","轻工业手工业","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOxPT6moqYKsasLh1IS7TfgQIBVdv4nuhZHSzesVMowt8phuUoQg4K1nudQYvOMxEc87mYubHsj6JQLQaDuhr4A9WOzrixrhdncz5OjiOBxAA==&uniplatform=NZKPT&language=CHS"
"家禽科学","1673-1085","37-1424/S","山东省农业科学院家禽研究所;山东畜牧兽医学会家禽专业委员会","0.396","0.260","","畜牧与动物医学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINTBVsKCcSsrtigzVzJbXGVREMBg5bB6Bq2msRG5SauMsMmolN0NINEXGbQ_Vb1NRL25Gpgvd05aEQZiNDfVAIgzlC7GqpIMwuUCgx4l1fQhg==&uniplatform=NZKPT&language=CHS"
"家庭.育儿","1004-3039","12-1013/G","今晚传媒集团;天津科学技术协会","","","","社会学及统计学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMHqwSJOp4OzAjNO-rV0vm1b6d08ZKaZFFAaoHXlzJB8qEoT_e4-yZ4F2c8iYFNkWH6jKU4FTGemh_w00YOSWPVIXnUeH26D_EHTXnWm47G3g==&uniplatform=NZKPT&language=CHS"
"家庭百事通","1008-7532","36-1219/G0","江西科学技术出版社有限责任公司","","","","社会学及统计学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMHqwSJOp4OzAjNO-rV0vm1b6d08ZKaZFFAaoHXlzJB8qEoT_e4-yZ4F2c8iYFNkWGST4y4V5It2WCEYThVN6TZxjtOzYBGWB-QD9Tn2gGpbQ==&uniplatform=NZKPT&language=CHS"
"家庭电子","1005-4669","51-1442/TN","四川省科学技术情报研究所","","","","无线电电子学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPd1kMnFcSedC2r28aiHAgKsw8AkSvz4dE-ZhsmkjPhVle566K9sfAhfTpXDkVMqhpjwm30ACUBrTd6bs01tghzVXZ1gugkiaAJwBJJ8LY3WA==&uniplatform=NZKPT&language=CHS"
"家庭服务","2095-8722","10-1257/TS","中国劳动社会保障出版社","","","","服务业经济","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPfCBVQKrJyDogNd3drkX24LRqAKfgPsnxDXvAQE9-SzsZIHJgB2E_GMttm3DHLo7AVwNx-_DVPgb_M4bZDbspUuX6ie--T8NokqDuIYWcA8Q==&uniplatform=NZKPT&language=CHS"
"家庭教育","1004-048X","33-1043/G4","浙江省妇女联合会;浙江省家庭教育学会","","","","学前教育|初等教育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMI1_Hl333q_QELKYldoHuABrtllzra--VYiJT9ahPZJ8LGfDLbrT_8pOTJwAbonoX1F0f-q5mTeEi85IEKhXdkwFxXlKue5dEBN7dn3EdYlQ==&uniplatform=NZKPT&language=CHS"
"家庭教育(幼儿家长)","1004-048X","33-1043/G4","浙江省妇联;浙江省家庭教育学会","","","","成人教育与特殊教育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMsgjxyoph_AfP3TVi7K67XNCED7mgBPpcsdiz-i6Kf8lvfl9btoWrRYcIS_C8NHGbg7zFJ9Do80mvpjCKYKXpLmO-9q6ES_pIS54JkO1KJZg==&uniplatform=NZKPT&language=CHS"
"家庭教育论坛","","","华中师范大学家庭教育研究中心","","","","成人教育与特殊教育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMsgjxyoph_AfP3TVi7K67XNCED7mgBPpcsdiz-i6Kf8lvfl9btoWrRYcIS_C8NHGbQo3j0kgV5mHJtDBTEiIYHzqFXCcSZchQaRQtPSnxmDQ==&uniplatform=NZKPT&language=CHS"
"家庭科技","1005-7293","45-1191/TS","广西科学技术情报研究所","","","","一般服务业","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPkEWhSaayiwc4DuhJqI4QbC-XfrwriPnULBhid8PW0V09lROCFdGCPPn7tefAwdcmaVr_AzIVIW3Ff4ZvZCeOdAhQ4at8XWmAnZLzYK92xgA==&uniplatform=NZKPT&language=CHS"
"家庭科学","1672-4526","21-1471/R","辽宁报刊传媒集团(辽宁日报社)","","","","预防医学与卫生学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPY5IIz9rzKUhZ740w4yTHmTvauZ2Iq5dCXWd5MxZiH9T1ZEiJYHYWZ8m7QEzMKIyRN8ZFSePpppmCrJp3Bc3PEUvpDLXso96aKBFCXIWFXBQ==&uniplatform=NZKPT&language=CHS"
"家庭生活指南","1003-3335","23-1039/C","黑龙江省科学技术协会","","","","社会学及统计学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMHqwSJOp4OzAjNO-rV0vm1b6d08ZKaZFFAaoHXlzJB8qEoT_e4-yZ4F2c8iYFNkWF_qF10AQnbAUSOLAPSWVy62COX1DkYY10_AAg2_XEX8A==&uniplatform=NZKPT&language=CHS"
"家庭医学","1001-0203","41-1076/R","中华预防医学会","","","网络首发","预防医学与卫生学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPY5IIz9rzKUhZ740w4yTHmTvauZ2Iq5dCXWd5MxZiH9T1ZEiJYHYWZ8m7QEzMKIyQ21XBakdIM1nO1fl4XsTdRueUk0Q4Y7bxFgEuoEixbvw==&uniplatform=NZKPT&language=CHS"
"家庭医学(下半月)","1001-0203","41-1076/R","中华预防医学会","","","","预防医学与卫生学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPY5IIz9rzKUhZ740w4yTHmTvauZ2Iq5dCXWd5MxZiH9T1ZEiJYHYWZ8m7QEzMKIyQ_abHXCaTMISuJZM4VMHw1Y2av474zXsr60Uj3whlrSA==&uniplatform=NZKPT&language=CHS"
"家庭医药.就医选药","1671-4954","45-1301/R","广西壮族自治区科学技术协会","","","","预防医学与卫生学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPY5IIz9rzKUhZ740w4yTHmTvauZ2Iq5dCXWd5MxZiH9T1ZEiJYHYWZ8m7QEzMKIyQFnNbSO4lQU3tHxJLQfeOsoClGQbvVsqFTQv2GEx2M_A==&uniplatform=NZKPT&language=CHS"
