title,issn,cn,sponsor,compound_if,comprehensive_if,tags,major_categories,detail_url
"东南司法评论","","","厦门大学司法改革研究中心;天津财经大学纠纷解决研究中心","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO1LMtoyeTmRDn60i-21gmmmvp6aKAzME7TtwsZ3s3SuPnXMa2SMSKbSLcOdi_4jMob93LHGYfyF38Cz9Y5Rjr65uNiFknx6oH55OphGLJctw==&uniplatform=NZKPT&language=CHS"
"东南文化","","","","2.169","1.338","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOXowQCFE-0Im0n1V-2h1LNrH1dGM1nmBmcIMKGEd6t26TA1CWss6KIJFOpYJRBO-Z_pay74Tg63SlDvvnwaUZKTWOIHkiIHxW92NZgVI9QAw==&uniplatform=NZKPT&language=CHS"
"东南学术","","","","4.131","2.417","网络首发|增强出版","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOtoRkN-lc-EooWgDChU8i8x6uhHyFfdX4TdI2WLU0l4qJadgD549wnwieBtjpQHGP7OOKpvFn5ovt-b-OsL_Sbu52ksmycDWZr8Zp8MQeD6A==&uniplatform=NZKPT&language=CHS"
"东南亚区域国别研究","","","北京外国语大学东南亚研究中心","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINPaxRFmZwARF-4BE_gHmVoXGAvKcD8G1mNYfejwbpuwLYarZuBCq0uh-JfZ_cXFrx6VoIATnzgCb5l1BNmRxFumflmMulkTGKzWUe0SzIBnw==&uniplatform=NZKPT&language=CHS"
"东南亚研究","","","","2.762","1.798","网络首发","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIP4nS8hrrilJmCKeFrdNbRqvYb4_TiZLGZFxjAoJSlQw6PWSpJeklAkGsBr_g9DUZXE-pb3uE7fZ9wUe3jWF-6GORPEOFfHY3UUl0eFXwIgjA==&uniplatform=NZKPT&language=CHS"
"东南亚纵横","","","","1.485","1.263","网络首发","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINhN1pSD0piEVz-B1DEjIOswPih_aA0331x79OBdmBxYgKy0iuQVUwwA89gCX1sHiazGLEsVxDoQAuH0I8Vp_hcTytavJm8iDB8AtX5wpFw4Q==&uniplatform=NZKPT&language=CHS"
"东南园艺","","","","0.460","0.335","网络首发","农业科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIP2iq945TyNitd3DjBiNyauZMBwuGFpoc_w3CXOMAlTzya6wSRHNH-yEFjquWINk5xnKEXVDy4QBn_SLPahFAouVoeue993mOP0l1Exr37Wdw==&uniplatform=NZKPT&language=CHS"
"东吴学术","","","","0.293","0.133","网络首发","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMEhC9-st7--CcD3DAkeKg4HOKirfeB8ZVt-CovtXzbenehfhAGRCBNeFvYE_Ug83eO9PND4ZXbbBiSSk8WkRwyoDys6SaHALCuQplAIa8ivA==&uniplatform=NZKPT&language=CHS"
"东吴哲学","","","苏州大学哲学系;苏州大学东吴哲学研究所;中国马克思哲学史学会马克思恩格斯哲学思想研究分会","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPpLCKaqDg1qJzydnVaehdmAdw1JBRxaKV3WPaPRgVBkTbmW2LPIjuwtbBdYQIcPJWapl2sAbfNsy2_Fj3SfwsFPKCoRYZU3GkDiVNfCp01CA==&uniplatform=NZKPT&language=CHS"
"东亚佛学评论","","","中央民族大学东亚佛教研究中心","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPpLCKaqDg1qJzydnVaehdmAdw1JBRxaKV3WPaPRgVBkTbmW2LPIjuwtbBdYQIcPJUTMUOXdCgoB6JbpaTiS-02L7Agyoe-YxVFucpvTTnr8g==&uniplatform=NZKPT&language=CHS"
"东亚汉诗论丛","","","上海师范大学","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPpLCKaqDg1qJzydnVaehdmAdw1JBRxaKV3WPaPRgVBkTbmW2LPIjuwtbBdYQIcPJU6hyk0PO0WUrGBjYQLmBI_IVfkx4vO_0MnZprfrHST7w==&uniplatform=NZKPT&language=CHS"
"东亚评论","","","山东大学","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINPaxRFmZwARF-4BE_gHmVoXGAvKcD8G1mNYfejwbpuwLYarZuBCq0uh-JfZ_cXFrwZXq41TTlUkr8pqe-aOp22q_9KmXdIltbSDuGeVW74RA==&uniplatform=NZKPT&language=CHS"
"东亚唐诗学研究","","","中国唐代文学学会东亚唐诗学研究会;上海师范大学唐诗学研究中心","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPpLCKaqDg1qJzydnVaehdmAdw1JBRxaKV3WPaPRgVBkTbmW2LPIjuwtbBdYQIcPJWrwJuXR0EemIKV7eOSb5IQECZX0Lz71VEcP-Jf4powVQ==&uniplatform=NZKPT&language=CHS"
"东亚文明","","","南京师范大学文物与博物馆学系","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPpLCKaqDg1qJzydnVaehdmAdw1JBRxaKV3WPaPRgVBkTbmW2LPIjuwtbBdYQIcPJXx5D4XsI8wWq_TaX40GfduU1HMJ9LSXksNY4Sv9qGmQg==&uniplatform=NZKPT&language=CHS"
"东亚文学与文化研究","","","中国社会科学出版社","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPpLCKaqDg1qJzydnVaehdmAdw1JBRxaKV3WPaPRgVBkTbmW2LPIjuwtbBdYQIcPJXMEZrOQ1jKHMQGIvqxuUp4Now2b5smA_wzbHbS7oCO3A==&uniplatform=NZKPT&language=CHS"
"东亚学","","","浙江工商大学东亚研究院","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPpLCKaqDg1qJzydnVaehdmAdw1JBRxaKV3WPaPRgVBkTbmW2LPIjuwtbBdYQIcPJUh55wyPKi6HSO2U9vpZ7lSH7pPgX624CFYUZqPbqoWQQ==&uniplatform=NZKPT&language=CHS"
"东岳论丛","","","","4.008","1.998","网络首发|增强出版","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOtoRkN-lc-EooWgDChU8i8x6uhHyFfdX4TdI2WLU0l4qJadgD549wnwieBtjpQHGOUYwZo7EoLVUE9gNKOR5XzNIjSw_Tdj6OjV2xgPEcpnw==&uniplatform=NZKPT&language=CHS"
"董事会","1672-9447","32-1740/F","","","","增强出版","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOl9LpX94p680FuTtIUzZyrY50hFACTBZEvat3o7lLQ0IvIRVaYaEgq-6bkyuUV_eYjd09nmM4jKDK9rWf9NDnTxro6f3XQJ-TMnm2XeVWImQ==&uniplatform=NZKPT&language=CHS"
"动力工程学报","","","","2.755","2.067","网络首发","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMUKHwiinagi4y6DA1RSXnezeGzLBr0mIfURY024Zqe0eC_vp1U1BU6c0OD3c13vCpjC_zQHMO-Bz7nhAmIW0NtygkyeJWGTiigXYFsqGswPQ==&uniplatform=NZKPT&language=CHS"
"动力学与控制学报","","","","1.315","0.905","网络首发","基础科学|工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINPm8NwXMfijZNdTm6n4UiN-raPe0ySnuZd9FJXHpvntmaDBTJ7ls_e5G-AHhDleYV6lJWb-qeYlnXasvoN0bOCehDfoJtZyBgACzQD1ai5yQ==&uniplatform=NZKPT&language=CHS"
"动漫先锋","2096-1944","21-1605/J","","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPpLCKaqDg1qJzydnVaehdmAdw1JBRxaKV3WPaPRgVBkTbmW2LPIjuwtbBdYQIcPJVAe0UOwLESHTuUsEtbnGDeE1-6qRjGXtWFExoGsRTlEQ==&uniplatform=NZKPT&language=CHS"
"动漫研究","","","四川动漫研究中心","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPpLCKaqDg1qJzydnVaehdmAdw1JBRxaKV3WPaPRgVBkTbmW2LPIjuwtbBdYQIcPJUHOxr6I8OFgbcAasQ-iSh6KjYH5YzQ8-DJz9yZ-Yq8HA==&uniplatform=NZKPT&language=CHS"
"动物学研究","2095-8137","53-1229/Q","","","","","基础科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMOX3xkaSSpoP4YS3nn7pODU0f9BRgNebnAjrT9rKQJ2zal0NfZldB3ICBRC8Z52d4UlxdSaM_EwzR64sD-JU9i1Tv3q2yNSp54v8sUN5hGXw==&uniplatform=NZKPT&language=CHS"
"动物学杂志","","","","0.703","0.573","网络首发|增强出版","基础科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOHG2C6VE-P14Ars7mh5haLwWA1PjeygstBeRzEKo3Xa17X_POXFKkZ0rSylv0Ytzz8QxxS0M9iPxyDzucSR0XEn-DxX2d3ebv4P6PcRBl-eQ==&uniplatform=NZKPT&language=CHS"
"动物医学进展","","","","1.360","0.883","网络首发","农业科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN378At-ZYmRFrTOu8gFgJ7OJVHP0UAeDDtfPzfU6QK6CNXKqzWjChU5I5EKd9mCmXCzj4fjJ0dvpHhJaclPZgXtfRa2XgAgDQlUghH_9Yh8g==&uniplatform=NZKPT&language=CHS"
"动物营养学报","","","","3.825","2.611","网络首发","农业科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINvQt8Mx43HNhReL1HhPgbjTl30d9uesV_ISOwYlyoP4-RcE5e4yRsWAd7RpSyHTFujAuFxfGrdT62kxBP7ynew79FeXJnOEh842HW81CTH-w==&uniplatform=NZKPT&language=CHS"
"都会遗踪","","","上海市历史博物馆;上海革命历史博物馆","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINg7m8r3bsuHiEhJqu9Is2v6TaZ5oOB5rSibuAQFBoB3GAnIRUz6cK8tUFOzp3qChrKGJ9O8zfB2AyyZWXujsZ07qjkHCjFhsUMGk_YTEK0mg==&uniplatform=NZKPT&language=CHS"
"都市快轨交通","","","","2.540","1.721","网络首发","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMspZfGHyT7P7sGJR56kfanY9UejNCNPIYf85Obu7NVHSStsljcsS0NHam-C7Y6IICWVwvoKIJ1lQeE_-JRt_G0oNwVwd1Pxh0gZdu3XGH7PQ==&uniplatform=NZKPT&language=CHS"
"都市社会工作研究","","","上海大学社会学院社会工作系","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINPaxRFmZwARF-4BE_gHmVoXGAvKcD8G1mNYfejwbpuwLYarZuBCq0uh-JfZ_cXFrwQ_ApXg3uPCj_0RtwAWNuRZM6t2L4mqjjdbXz_0F4PcA==&uniplatform=NZKPT&language=CHS"
"都市文化研究","","","教育部人文社会科学重点研究基地;上海师范大学都市文化研究中心;上海高校都市文化E-研究院","","","","哲学与人文科学|社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPzpxzSa-sERiZ2n3PLp3pu_16EkUzffViEmOcsMC7LWgC_rOKHHNhKurjwHZ4-vs9I_KGtphvaSC9mFcYvPPHwnuTB9E_-9rWecy79QCafmw==&uniplatform=NZKPT&language=CHS"
"毒理学杂志","","","","0.733","0.497","网络首发","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPWQw8bE-qXC1TbiGHb1s2RjOCvVdkcYG7ZHKj6fmmVDB1QKwM1cmxO-exFD0OFaRO1qXmAA-4KW5FBXOGgvrjxdZ8R9StilrANY1JNd5-fBQ==&uniplatform=NZKPT&language=CHS"
"独生子女","1007-6727","42-1352/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINRZfs8Xfc0fZjCSBdPxx6ciEyXNDAbOdhukYCGbJL6V5GSBapf7fvuzPok0bOxvTL2391xrT3ys5O1J4o778g_2zUYra9v04piDAnWnDzGXw==&uniplatform=NZKPT&language=CHS"
"独秀论丛","","","广西人文社会科学发展研究中心","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDZKYMWXRQj5ON8NYLGAOpumTcMYSkF3HwRZRLaBywgLptNvl_jTHpvDWwaukHVirCbKW-FJXlwRkSq8kXbEA0v02opOstUvN8G-M_iZlKxg==&uniplatform=NZKPT&language=CHS"
"读书","0257-0270","11-1073/G2","","","","","信息科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOA-DV9gUxdrvpbdrK2BvfI7PFlxIoDuHAk05eR51jpo-sOw0mcZCprR3Y4hE3PaYz4PxcyZQBs3B1hPLZGDXBm2pMTyu970w7UlMDVT20xUw==&uniplatform=NZKPT&language=CHS"
"读写算","1002-7661","42-1078/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINRZfs8Xfc0fZjCSBdPxx6ciEyXNDAbOdhukYCGbJL6V5GSBapf7fvuzPok0bOxvTLq3qHJYk-uUNQ-1da7eKbyG4lPfWFglghqZxNPvZgvRw==&uniplatform=NZKPT&language=CHS"
"读写算(科技知识动漫)","1002-7661","42-1078/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDZKYMWXRQj5ON8NYLGAOpumTcMYSkF3HwRZRLaBywgLptNvl_jTHpvDWwaukHVirqOB8NYd4HgO1ZfeENlENzvoxde1AB_SqGu9uXXkIRWA==&uniplatform=NZKPT&language=CHS"
"读写算(小学低年级)","1002-7661","42-1078/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDZKYMWXRQj5ON8NYLGAOpumTcMYSkF3HwRZRLaBywgLptNvl_jTHpvDWwaukHViqFEI-_F9Q0z2VeKclCxV97zdoyR3do5x2Rdbc1XZy5qA==&uniplatform=NZKPT&language=CHS"
"读写算(小学高年级)","1002-7661","42-1078/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDZKYMWXRQj5ON8NYLGAOpumTcMYSkF3HwRZRLaBywgLptNvl_jTHpvDWwaukHVirzDrVhp6x37lqn88rCzYbVWMLC1zsAmtLKI9U8g5xQ7w==&uniplatform=NZKPT&language=CHS"
"读写算(小学中年级)","1002-7661","42-1078/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDZKYMWXRQj5ON8NYLGAOpumTcMYSkF3HwRZRLaBywgLptNvl_jTHpvDWwaukHVirfzKuWWcI0DPZ-pALqn3kt5yIuVfMZ_RXmDe6Wn1LElg==&uniplatform=NZKPT&language=CHS"
"读写算(中考版)","1002-7661","42-1078/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINRZfs8Xfc0fZjCSBdPxx6ciEyXNDAbOdhukYCGbJL6V5GSBapf7fvuzPok0bOxvTJHJi-1UNLQ8VtpEyRUfNB0o2cujqWHZzA3Ze2VIR6e0Q==&uniplatform=NZKPT&language=CHS"
"读写月报","1006-2424","36-1049/H","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINRZfs8Xfc0fZjCSBdPxx6ciEyXNDAbOdhukYCGbJL6V5GSBapf7fvuzPok0bOxvTKMKszxF80lLxrZTBldyhGYDwty691GIntiGOneHJpTNQ==&uniplatform=NZKPT&language=CHS"
"读友","1671-458X","44-1551/Z","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDZKYMWXRQj5ON8NYLGAOpumTcMYSkF3HwRZRLaBywgLptNvl_jTHpvDWwaukHVir3FauI0UexNahS1moYn9SNizcBInQoXQ7ucrwpGK_8sw==&uniplatform=NZKPT&language=CHS"
"读与写(高中版)","1672-1578","51-1650/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINRZfs8Xfc0fZjCSBdPxx6ciEyXNDAbOdhukYCGbJL6V5GSBapf7fvuzPok0bOxvTJfM1WQF5TFLGz6jBsloRQUMFgyd2h2enxkc3_yGqXjTQ==&uniplatform=NZKPT&language=CHS"
"读与写(教师教育)","1672-1578","51-1650/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINRZfs8Xfc0fZjCSBdPxx6ciEyXNDAbOdhukYCGbJL6V5GSBapf7fvuzPok0bOxvTIEh6L-GEbLCheTk_3lO3v4L7lhBYC6CsUE_5r2UEZb7Q==&uniplatform=NZKPT&language=CHS"
"读与写(教育教学刊)","1672-1578","51-1650/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINRZfs8Xfc0fZjCSBdPxx6ciEyXNDAbOdhukYCGbJL6V5GSBapf7fvuzPok0bOxvTJOra0wkYHd7FR39DaqnHbi1-D42HTPjEAPbP-3hCZa5w==&uniplatform=NZKPT&language=CHS"
"读与写(小学生之友)","1672-1578","51-1650/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINRZfs8Xfc0fZjCSBdPxx6ciEyXNDAbOdhukYCGbJL6V5GSBapf7fvuzPok0bOxvTIXoSBniIg_He-_fAW6PJn6T2fQyAbX2OnSEK7nfffnUw==&uniplatform=NZKPT&language=CHS"
"读与写(中学生之友)","1672-1578","51-1650/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINRZfs8Xfc0fZjCSBdPxx6ciEyXNDAbOdhukYCGbJL6V5GSBapf7fvuzPok0bOxvTJxagLd9vTxKMwMtJo3qGnG82SFqvNUzzpnHM0V29dAWg==&uniplatform=NZKPT&language=CHS"
"读者欣赏","1671-4830","62-1163/Z","","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPzpxzSa-sERiZ2n3PLp3pu_16EkUzffViEmOcsMC7LWgC_rOKHHNhKurjwHZ4-vs_zVx5IQkWvtOp2ZwVhHu6Wi1E5it9Dx5fcfjxNxpkvpw==&uniplatform=NZKPT&language=CHS"
"读者欣赏(理论版)","1671-4830","62-1163/Z","","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPzpxzSa-sERiZ2n3PLp3pu_16EkUzffViEmOcsMC7LWgC_rOKHHNhKurjwHZ4-vs-wbZ2YtpsE9La17svbbKjsNJaGRZP0z9msRzppOOwEwg==&uniplatform=NZKPT&language=CHS"
"杜甫研究学刊","","","","0.903","0.639","网络首发","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN1F-CXXp5yTZiqHp7jQdh78L5e5n_oTsCg_a8eOW21pm1OjSa2Q9ayXyGrTnCKlZeRDTr5EqLzYw7ANXHjSwD7_byd49KYL2vCZask6dVrcA==&uniplatform=NZKPT&language=CHS"
"度假旅游","1672-7517","34-1271/G0","","","","","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOl9LpX94p680FuTtIUzZyrY50hFACTBZEvat3o7lLQ0IvIRVaYaEgq-6bkyuUV_ea38eBl2eCzgft_QGVjEM6UGS_S_OerIVzTByofKPqu6w==&uniplatform=NZKPT&language=CHS"
"断块油气田","","","","3.682","3.332","网络首发|增强出版","基础科学|工程科技I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIME8wZA4xZccThdmj__jjx7O93LIUQb6kFrdGbyyn0JUMzNL92WDm8WgW9Ss1eXOTF_NngTvQGpJ_-I7fSXlpnxwzC6vBQLwjRV1fp7l5SntA==&uniplatform=NZKPT&language=CHS"
"锻压技术","","","","1.638","1.252","网络首发","工程科技I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOApFk_33yPi-lAeNha4YLXnKa3lTXJJSKgOidEXdEphkt8wsgEptRZEM0yLmK19UnnEkuFlw6bWoviX6wNffrqdC5OQb6KukYYRq2RJBWPjg==&uniplatform=NZKPT&language=CHS"
"锻压装备与制造技术","","","","0.500","0.396","","工程科技I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINH9y1Ub-TL7kJY1VXyY3FOGDn-9Q_5R30DKDo18RLi7Y_RRjBsvM70iCqVw6fD5qTBbZUe_JpiT96m92eEMDQRadpAAGoq937RC-qjOuTX0w==&uniplatform=NZKPT&language=CHS"
"锻造与冲压","","","","0.219","0.159","","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINnJ791Rmtbfn1r9fG8qXlAwRTkne82EYUGApAZwU9r195X_9XX9UOvdKxZrZGR2A7JTOSHBlHj_VjHQSZBf-KwydSprI2ciHVupKdV6OeCkw==&uniplatform=NZKPT&language=CHS"
"对联","2096-5214","14-1389/I","","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINg7m8r3bsuHiEhJqu9Is2v6TaZ5oOB5rSibuAQFBoB3GAnIRUz6cK8tUFOzp3qChoUZW4qCnZtuv3RH-RuWorYm6GaGMetgWk-FpwkcOWi9g==&uniplatform=NZKPT&language=CHS"
"对外传播","","","","1.928","1.269","网络首发","信息科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOIfEnXZA1nyTOLaFCVCAW1tqguytQcd0hTPYbyoxlmHKNa5MKsz52xcY6_2Js_5zr5hlYXW_u9DNXhUyskd9UQw3VDUKmInsfC7l6zf2Dmng==&uniplatform=NZKPT&language=CHS"
"对外汉语研究","","","上海师范大学《对外汉语研究》编委会","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINg7m8r3bsuHiEhJqu9Is2v6TaZ5oOB5rSibuAQFBoB3GAnIRUz6cK8tUFOzp3qChpMgtyTHkfYlE9S-Nx70Xd6Nomk9qiwKcae1UJ_BOwQHA==&uniplatform=NZKPT&language=CHS"
"对外经贸","","","","0.768","0.347","网络首发","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINVeRvKPQMYxCT1M80NrHKYIcCs3XCmYHhWpZ6G8Qm79J_gOB9LTr-IwLshB_20pt5OQXheXgBgV-JJ6FkyPgXvhzW5LS6iDFvWUvesKROi9A==&uniplatform=NZKPT&language=CHS"
"对外经贸实务","","","","1.032","0.468","网络首发","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPg3rZ1GuavgpfCHmuonfg3VpM6jATlV4z1AZ-vj0cJ1IMU1aCYUg3FFBtJ2aMVSHG-TUKLBz88G559OEj0XIA68jhFXlQcOruJJmOiYLYjow==&uniplatform=NZKPT&language=CHS"
"敦煌吐鲁番研究","","","中国敦煌吐鲁番学会等","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINg7m8r3bsuHiEhJqu9Is2v6TaZ5oOB5rSibuAQFBoB3GAnIRUz6cK8tUFOzp3qChoWopQ-vdiHCUzJq0_xePslchLz6nzqDZ3KoQ7gqJ34CA==&uniplatform=NZKPT&language=CHS"
"敦煌学国际联络委员会通讯","","","敦煌学国际联络委员会;中国敦煌吐鲁番学会;首都师范大学古文献研究中心","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPzpxzSa-sERiZ2n3PLp3pu_16EkUzffViEmOcsMC7LWgC_rOKHHNhKurjwHZ4-vs8tw6zqAx2zb-9_4nPUqIJwv7pIDd_pEiPt9ZGfL7PdKg==&uniplatform=NZKPT&language=CHS"
"敦煌学辑刊","","","","2.000","0.448","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOXowQCFE-0Im0n1V-2h1LNrH1dGM1nmBmcIMKGEd6t26TA1CWss6KIJFOpYJRBO-al2p3Yq0b7DWnyY1hWrwRsp_FvSZGPpb_iNWfO9XpEXQ==&uniplatform=NZKPT&language=CHS"
"敦煌研究","","","","0.725","0.482","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO1U-4TuD47q1MZfSDLRfPeuE7b-eo-kw_Mg4TuD0EqOIdS-aScXCwxcHrDjMydNeB8BdVdcY-dVwuaCDehICgiSK5kkaRsj4CNj_HlML54UA==&uniplatform=NZKPT&language=CHS"
"多彩贵州文化学刊","","","贵州民族大学","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPzpxzSa-sERiZ2n3PLp3pu_16EkUzffViEmOcsMC7LWgC_rOKHHNhKurjwHZ4-vs-J-mx08Tq_opjLjBpo1ISCQsRBV9X9yBIw1BiO2MRUBQ==&uniplatform=NZKPT&language=CHS"
"多层次资本市场研究","","","全国中小企业股份转让系统;北京证券交易所","","","","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOl9LpX94p680FuTtIUzZyrY50hFACTBZEvat3o7lLQ0IvIRVaYaEgq-6bkyuUV_ea87mA89VtmCr_loNKz8SZecvsPhxZnMDDS1lEoJ8BSfw==&uniplatform=NZKPT&language=CHS"
"俄罗斯东欧中亚研究","","","","2.816","1.459","网络首发|增强出版","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIP4nS8hrrilJmCKeFrdNbRqvYb4_TiZLGZFxjAoJSlQw6PWSpJeklAkGsBr_g9DUZUC0OJleOfBaVuMB3lhC3BXT6oryGDc9h5tpo8NlOP6og==&uniplatform=NZKPT&language=CHS"
"俄罗斯经济与政治发展研究报告","","","中国人民大学-圣彼得堡国立大学俄罗斯研究中心","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINPaxRFmZwARF-4BE_gHmVoXGAvKcD8G1mNYfejwbpuwLYarZuBCq0uh-JfZ_cXFrz8t7NKOe9IAlaTR-ljAldHA80LeTB_FDTVfGbmeWvmYw==&uniplatform=NZKPT&language=CHS"
"俄罗斯文化评论","","","首都师范大学文学院","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPzpxzSa-sERiZ2n3PLp3pu_16EkUzffViEmOcsMC7LWgC_rOKHHNhKurjwHZ4-vs9i5vuI_FkdgrgBy0YtbCg1TtzH522GCO0BUu4UhYbMGw==&uniplatform=NZKPT&language=CHS"
"俄罗斯文艺","","","","0.315","0.130","网络首发","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOyakGG4AYjwULN15cOnhjkxxELdHxKBgR7ZhVY1VFf-liIIeQe7IC6_coihp2yLx6VPAUNqVLev4_Y0r_TvcVgfBKMYnVAjnTk8no0AJxcnw==&uniplatform=NZKPT&language=CHS"
"俄罗斯学刊","","","","1.747","0.916","网络首发","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINgnddYO-3iBd5gDQn_M3ISnpDwmi6cOS6p5q4zAFHp_f2MoyN88m1-bsCGHTYJNvYPR1lQDJQXigV7vyUAIh8vlUUE1QM5DqiZuSFlRfPdmg==&uniplatform=NZKPT&language=CHS"
"俄罗斯研究","","","","2.978","1.744","网络首发","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPqezwsXBIQU2yiVJCAIObGDVSrh8CSlP9vA5zo15VSZLaNog7R_-PQsv_yEIgaSUL0xKnE6SbE4tsw0hxig4JIfpLMxepRuHo4689s1udhtA==&uniplatform=NZKPT&language=CHS"
"俄语学习","0470-9055","11-1253/H","","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPj-dJj-Yt6VsvMKY3iwSwpqqeJ1c6dUrIadH4FG9yAhJhdLRdWySI_ger7thqRGZPzuYIkWsT09Q-k0tDUehf37e6MO8m449fflg4GqkE4yA==&uniplatform=NZKPT&language=CHS"
