title,issn,cn,sponsor,compound_if,comprehensive_if,tags,major_categories,detail_url
"阿来研究","","","四川大学阿来研究中心","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM0Ew5ZNdZBpiw78rl9Z-7kCsbmEuJTk4ju7QT2XF84iop1Fpvb-vcV2yjQ46A8FSN5qDrOPxxXKjlckAw5STBuQdSfnjGNtDvIbn-wwR1vGw==&uniplatform=NZKPT&language=CHS"
"癌变·畸变·突变","","","","0.822","0.523","网络首发|增强出版","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM4w1wKtr35_e9nZzhPuj3gtNisR02r7MsOB50D0SQbLfunjEv17L3TQ9JNNu210S0K91qEb1p9_C2P3u5qxcllVurQsofbrGaHHaqpZh-0Mw==&uniplatform=NZKPT&language=CHS"
"癌症","","","","2.729","1.948","网络首发","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOITOuOvDrVvBXAc672ch5xMSOVAFQgq-bRReRzM8rrGhGB2pQ-ic7b0IHDdUMzOi5MuFYK67bw7M4t5ED-UOHnadyVP-nBIIRlvf8gaOPAsQ==&uniplatform=NZKPT&language=CHS"
"癌症进展","","","","0.983","0.837","网络首发","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM62mJKOyDnJuli22vByekp6AQwVkydjaQXjJrkFmrsucOi7fnGF7bWmWbik2VLhwXq4sAE9kAvlaukeQPdDdDgrGfnKbN5hu5Ju2AKMwnRFA==&uniplatform=NZKPT&language=CHS"
"爱你","1674-0513","43-1477/G0","","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM0Ew5ZNdZBpiw78rl9Z-7kCsbmEuJTk4ju7QT2XF84iop1Fpvb-vcV2yjQ46A8FSMLpAs_NygAC0NsEWJzqLJfWNyUcHP_Nmn_i_7jX6zn8g==&uniplatform=NZKPT&language=CHS"
"爱人","1009-8100","61-1380/C","","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM0Ew5ZNdZBpiw78rl9Z-7kCsbmEuJTk4ju7QT2XF84iop1Fpvb-vcV2yjQ46A8FSOrCIjIWC6Q55Tx5BXKvKp7cwzkwY0d3kZ1SY5N0wkcwg==&uniplatform=NZKPT&language=CHS"
"爱尚美术","2096-3254","37-1511/J","","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM0Ew5ZNdZBpiw78rl9Z-7kCsbmEuJTk4ju7QT2XF84iop1Fpvb-vcV2yjQ46A8FSNzAJAmRSY0GXrqRKjZJqZ22cxe1gtTR2l9P0ZhKqcK3Q==&uniplatform=NZKPT&language=CHS"
"安防科技","1671-4237","61-1387/N","","","","","工程科技I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOr1Z5tQCk7i4m8dUiJdb3QejOVWydmXbxiRQ2uhRQzZ9LyaRlr_PsKfgF9_tJ5BAgzpUJOqDs9aJ3wMW8QVDiOD57f1Cyp-8O1vqVAWhGoHA==&uniplatform=NZKPT&language=CHS"
"安徽大学法律评论","","","安徽大学法学院","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOWV4p-jYdUtaZzUbe7IUQGIOmsT2sPIhshIgKf3H_sWAwGXBE5cjk34tbC7lZ30msna8qb95wxXLfaR9TCbq3CwevGWgENe_CcGlpIxJGvGA==&uniplatform=NZKPT&language=CHS"
"安徽大学学报(哲社版)","","","","3.208","1.521","网络首发","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOYh9T8weozD-y3SqwhsS33RD0iu0QW5n7d-o-t0Q5u8l5oXiDPoBeibq36t9Cw3fpfOcbo7FUStkvd9VxVyXqlmf5sST4iakNhAKPV4U8jkQ==&uniplatform=NZKPT&language=CHS"
"安徽大学学报(自然科学版)","","","","1.143","0.655","网络首发","基础科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPU8yn7m8aRpuBDLawFDX7anunyKw39feciPh7snYavBNJAtEI8mh_VCNYrPqrsE_ZydAd24-zGYvi2Yv4q_c7v4AdgL-GAq6qujUH3xfHuuw==&uniplatform=NZKPT&language=CHS"
"安徽地质","","","","0.389","0.364","","基础科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIME5LO0QAuZz_vDgC-KMNrTjBnl8REx-WfI42lV8LS7h6g93dhm9UO7aN3Sbps19c8-iWb5hAEQ02ZN39oZ7HKZ-nBkHmciaUXEYXnkVgp1ng==&uniplatform=NZKPT&language=CHS"
"安徽电气工程职业技术学院学报","","","","0.345","0.230","网络首发","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINgwuNpGKMsSMWP-uaWP3pNtcnh3XrcJ1xEZ5mzK799SRIdosfxlGnyCi5cgB0Uta1I9Y1VdAI8XJx_3bHSuy8Q9oYw6KVs0UgLZvXg8utAEg==&uniplatform=NZKPT&language=CHS"
"安徽电子信息职业技术学院学报","","","","0.332","0.157","网络首发","社会科学II|信息科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO1gNxjeU3rS7_H4ABVt1Qds8k58xik6Ujf2haEpmGZDovxFxEk1U_t3W_jDxoaBNAnmBkd7PjNeYyTD8XLXlhBnWkFEb3KCdEnoQf8VGb6uQ==&uniplatform=NZKPT&language=CHS"
"安徽非遗研究","","","安徽省非物质文化遗产保护中心","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPbFJhEyfiQowbfFkwvRM4A0puHh9cJt2GZ-ZfljbutEsjW6nSWQjMReNbAtmyDQng20MDUd3kEX1X6VbwvQw_8uXVY1a7Dbr-D9tEuY9gFjw==&uniplatform=NZKPT&language=CHS"
"安徽工程大学学报","","","","0.593","0.324","网络首发","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWING-5wcDico6bd03rq3cvG-tEPuoaGkxi1afQzCAuDRsBH7UfutgLL58WaBz0yRMrps_NzwGN9izdmKItvVl4ob2Rcywb3-JLvRvnhk0Luc2A==&uniplatform=NZKPT&language=CHS"
"安徽工学院学报","1000-2189","34-1084/T","","","","","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINnFFTVEe4isj5Xbrvk57QNAryQjoAFxUI588lD1tIjLn1ou0MwS2pbH9R7nXmIUWoZW9wtkx9GM-B9rRQqPhB5YT0r4nUtfIkn-XlK1z98Yw==&uniplatform=NZKPT&language=CHS"
"安徽工业大学学报(社会科学版)","","","","0.263","0.170","网络首发","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINqWd__F2dOseHfGSliRiUoFNYJPNqYCHIcd_DpH3C5sAMXE2E2zDbUtzYP2e4D2Ls-AQSKEDDig8X1TnO2vDCagZJDXgiNZrmpdWUrnOTajA==&uniplatform=NZKPT&language=CHS"
"安徽工业大学学报(自然科学版)","","","","1.240","0.656","网络首发|增强出版","工程科技I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMQJQJqgdfUc2R4Z7SydWNsgEtk6fcGVsqhPuZA7URmKTUlNDMepB-nXhCLk-IlSc3FQicqIInbejtOfuz0WGnKdtFgF_WcHxlPjEA2kGMu6Q==&uniplatform=NZKPT&language=CHS"
"安徽化工","","","","0.514","0.332","网络首发","工程科技I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINH9y1Ub-TL7kJY1VXyY3FOGDn-9Q_5R30DKDo18RLi7Y_RRjBsvM70iCqVw6fD5qT62lo00lazUaMDe_a1v9AjWfyKXq459hnbi-HJ24yQ8g==&uniplatform=NZKPT&language=CHS"
"安徽建筑","","","","0.283","0.169","","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN6QJiBGZKdfN-j5ClB8p9Hmvoo0IDk_0cDydE5fgBgTJHMrsnhIDRhuCjTCWN-HFrYVE5e-n_BBAe2P3oND36DeLfHNpbWRPaKkCPXEG9PnQ==&uniplatform=NZKPT&language=CHS"
"安徽建筑大学学报","","","","0.737","0.331","","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINKMD2ntXUJanPA337YZtkgKH5ElMJ616CWXPlCR2Sze2LUkL4JBov3Sv7TwKpdYRCwEEKMd0ILl5MP1nZnNu_inBgov7yo6u6lpTHacdjbIg==&uniplatform=NZKPT&language=CHS"
"安徽教育","1005-6149","34-1007/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIP3_flu5fgpFkHzBJrsFnpqdPyGnsTe-iyogg-dQ3PnyIzq637injBQXUPUBnboBq1RCJaLi4GlYTznEpcXFj62MGzphSgiC_ZEtFmkRmFDJg==&uniplatform=NZKPT&language=CHS"
"安徽教育科研","2096-5885","34-1331/G4","","","","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIP3_flu5fgpFkHzBJrsFnpqdPyGnsTe-iyogg-dQ3PnyIzq637injBQXUPUBnboBq1d3nb5VG2xCeyvV-PxBVYQ5oDd0eH8q6qLUmgc9a-Ilw==&uniplatform=NZKPT&language=CHS"
