title,issn,cn,sponsor,compound_if,comprehensive_if,tags,category,detail_url
"Journal of Rock Mechanics and Geotechnical Engineering","1674-7755","42-1801/O3","中国科学院武汉岩土力学所;中国岩石力学与工程学会;武汉大学","2.699","2.248","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXPj4_JL8_dhidr9VvBf1Hkl-s4lOtAC-F55jOpQu-faFA==&uniplatform=NZKPT&language=CHS"
"上海城市规划","1673-8985","31-1706/TU","上海市城市规划设计研究院","2.664","1.519","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXNMTS_1sUjEXNwjgBFroaMhnnnd663h_PM9ny4Q-dpxdQ==&uniplatform=NZKPT&language=CHS"
"现代城市研究","1009-6000","32-1612/TU","南京市社会科学院","2.556","1.362","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXN_woHrXBtEAcrmjwf0Q4nosHdLvak-IqS_g4Mkq2Ad5A==&uniplatform=NZKPT&language=CHS"
"建筑科学与工程学报","1673-2049","61-1442/TU","长安大学","2.436","1.413","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXOUSHXm3Q-mEKnWFN0ZKVwWdeVPkQtYVqwcOop8AGcUYg==&uniplatform=NZKPT&language=CHS"
"西部人居环境学刊","2095-6304","50-1208/TU","重庆大学","2.311","1.343","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXPeCAkrvk1TWNT2LN_vpg7x5fk4rWhJkUvvDxuudrIj1w==&uniplatform=NZKPT&language=CHS"
"建筑学报","0529-1399","11-1930/TU","中国建筑学会","2.145","1.561","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXPaCUIzPVERJ4GiQGX7cElZYuFlt3dzLnHB44MpRzURNg==&uniplatform=NZKPT&language=CHS"
"地下空间与工程学报","1673-0836","50-1169/TU","中国岩石力学与工程学会;重庆大学","2.119","1.421","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOFTbGgG0vlRNcRzzYbzRb6O9-Lw4Xr_1HTfqHJFM5R_HEEVG91CSClT06bESs3dXNYQh0nZNHIsxNf8fU3Cz8r3aqkcxYhv4xh54-UcksgFw==&uniplatform=NZKPT&language=CHS"
"工程管理学报","1674-8859","23-1561/TU","哈尔滨工业大学;中国建筑业协会","2.090","0.944","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPIQgNX73SF2KzjkPajM-kxjp2ISd34syccB3VpH5OI85EaWLhYU67WVl6Bz7s1BAGJBVne-Xf2YrypzA67-skgukWLF-6OR8M2HJGECakd8Q==&uniplatform=NZKPT&language=CHS"
"工程爆破","1006-7051","11-3675/TD","中国爆破行业协会","1.714","1.385","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPIQgNX73SF2KzjkPajM-kxjp2ISd34syccB3VpH5OI85EaWLhYU67WVl6Bz7s1BAFHCx4GdcdK94ndsrOrb_9GHxALhyPVBx0t0eQ04qQQxQ==&uniplatform=NZKPT&language=CHS"
"中国给水排水","1000-4602","12-1073/TU","中国市政工程华北设计研究总院有限公司;国家城市给水排水工程技术研究中心","1.623","1.121","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPIQgNX73SF2KzjkPajM-kxjp2ISd34syccB3VpH5OI85EaWLhYU67WVl6Bz7s1BAHF2snxEJ6tqe73ubJBaJXidxQFAQr3RiLd7gHtFZa65g==&uniplatform=NZKPT&language=CHS"
