title,issn,cn,sponsor,compound_if,comprehensive_if,tags,category,detail_url
"华中建筑","1003-739X","42-1228/TU","中南建筑设计院有限公司;湖北省土木建筑学会","0.687","0.290","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS8MTsiwJeyfyE5RWNeqc4nHzBbaQhoR-wh8Gxb6vMwQ_g==&uniplatform=NZKPT&language=CHS"
"中外建筑","1008-0422","43-1255/TU","中华人民共和国住房和城乡建设部信息中心;长沙市住房和城乡建设信息中心","0.687","0.258","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS9h70et5YS7x9t-82jvdcSlhEkyzMmx0dWe0SyqHc4BoQ==&uniplatform=NZKPT&language=CHS"
"中国建筑金属结构","1671-3362","11-4723/TU","中国建筑金属结构协会","0.686","0.565","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS9AMWHQ2iQJ9XGw6R_7xkI-91E5PV5hqtdOZ-bPJCNk0A==&uniplatform=NZKPT&language=CHS"
"Frontiers of Architectural Research","2095-2635","10-1024/TU","高等教育出版社有限公司;东南大学","0.682","0.435","完全OA期刊","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS8R8R_6vMVopb3FVnC4DpI5P7DYd64fjv-lqxPOR5k3qg==&uniplatform=NZKPT&language=CHS"
"粉煤灰综合利用","1005-8249","13-1187/TU","河北省建筑科学研究院有限公司","0.682","0.477","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS89K7UrNUPNlJFujOfXii8PtFBnrP8iIaxXjlJZ7DA7vw==&uniplatform=NZKPT&language=CHS"
"空间结构","1006-6578","33-1205/TU","浙江大学","0.681","0.457","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS-iRiW-wHY8m3RBsKu5SBuMXvwZs5lye8FcXZqu6_vFrQ==&uniplatform=NZKPT&language=CHS"
"住区","1674-9073","11-5915/TU","清华大学;清华大学建筑设计研究院有限公司;中国建筑出版传媒有限公司","0.680","0.360","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS9n-c3q_zYVriUiph1p0RowELlK-3Zfypd6IDIDR410gg==&uniplatform=NZKPT&language=CHS"
"广东园林","1671-2641","44-1219/S","广东园林学会","0.675","0.443","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS_5n60SlihxDzUjsmhghK6Mb3JW7KNoWA5Q-QBf57pWGA==&uniplatform=NZKPT&language=CHS"
"结构工程师","1005-0159","31-1358/TU","同济大学","0.675","0.500","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS-CdK-WHx6_8BxQrl4HnOeKtGAo_HS6svcg_u6JCxTCjQ==&uniplatform=NZKPT&language=CHS"
"广东土木与建筑","1671-4563","44-1386/TU","广东省建筑科学研究院集团股份有限公司;广东省土木建筑学会","0.663","0.520","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS-Z3xmI89G5XpJbY0erFNSMHzRuXwllA_cY4Wl94DiEdg==&uniplatform=NZKPT&language=CHS"
"当代建筑","2096-8051","23-1610/TU","哈尔滨工业大学建筑设计研究院有限公司","0.641","0.431","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS-6yTf1iLHc9D1dMmzWZNderYTbgYAKnVHbvQEbh-Wnxg==&uniplatform=NZKPT&language=CHS"
"区域供热","1005-2453","11-3241/TK","中国城镇供热协会","0.634","0.421","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS9uwxSSKXYPTT4uxWi8jApIjhqQCseqHpCTFcu0z1gkiw==&uniplatform=NZKPT&language=CHS"
"北京规划建设","1003-627X","11-2882/TU","北京市城市规划设计研究院","0.632","0.332","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS-k4zVEU7BsBR_Q5vq_OMDyyQzd5jTSwV-l_6mvEwGIxA==&uniplatform=NZKPT&language=CHS"
"四川建筑科学研究","1008-1933","51-1142/TU","四川省建筑科学研究院有限公司","0.622","0.397","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS_SCYoqyLACOPiNpoWf96i3uMG9jF4INjY-VLEMp0Jrww==&uniplatform=NZKPT&language=CHS"
"时代建筑","1005-684X","31-1359/TU","同济大学(建筑与城市规划学院)","0.621","0.465","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS8EzQ3U0J0ZiEySjAP4O4I1m3RQL9TUku8X_fgbAx7BiQ==&uniplatform=NZKPT&language=CHS"
"建筑史学刊","2096-9368","10-1717/TU","机械工业信息研究院;清华大学","0.618","0.500","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS-RowSOpfKIMnKWKnwJ22MmPhTqtfaM1Ze50CtvWO56ug==&uniplatform=NZKPT&language=CHS"
"煤气与热力","1000-4416","12-1101/TU","中国市政工程华北设计研究总院有限公司;中交煤气热力研究设计院有限公司;北京市煤气热力工程设计院有限公司","0.607","0.397","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS9-5X73egj_4g13gNclD4UUx-DJ6-Eth4gDYlaI0LRgtw==&uniplatform=NZKPT&language=CHS"
"世界建筑导报","1000-8373","44-1236/TU","深圳大学","0.606","0.479","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS9LObv-c9Faip2AQU1H2NgLy7IwkVUWrC6rGDo-ypJJZA==&uniplatform=NZKPT&language=CHS"
"China City Planning Review","1002-8447","11-1735/TU","中国城市规划学会","0.604","0.396","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS8-k8hd4jrheGHuO7oYB5RP2s5Adq6ieSXWcd0KA2YIsA==&uniplatform=NZKPT&language=CHS"
"建筑技术","1000-4726","11-2253/TU","北京建工集团有限责任公司","0.593","0.459","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS-7OJcO4O6tg7oATV2WIPGSHVk4AgrnfAT5dbMi5g6-uQ==&uniplatform=NZKPT&language=CHS"
"智能建筑与智慧城市","2096-1405","10-1392/TU","中国勘察设计协会","0.593","0.318","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN2EHBWZBrUzRdnA4s4cKCOWVJUIVS8L9KT3qxBXmuQHDeDy9zhcE2dFklo68tWJ3oHZ69X1U_6_M71-adFxwOPqQK_LRfbddxRxzMQ9x47uQ==&uniplatform=NZKPT&language=CHS"
"工程建设","1673-8993","43-1465/TU","中冶长天国际工程有限责任公司","0.588","0.412","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN2EHBWZBrUzRdnA4s4cKCOWVJUIVS8L9KT3qxBXmuQHDeDy9zhcE2dFklo68tWJ3o4RuIjydBah165ew872j-An60EumZczfcJLVtXhbgFow==&uniplatform=NZKPT&language=CHS"
"绿色建筑","1674-814X","31-2040/TU","上海市建筑科学研究院(集团)有限公司","0.588","0.383","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOXLwdhNIVJTHy8jTYP9E3MQnusASEbBY5mF9wLcjkg2Ja4BVIqKI5eML8ssZPxsXvXfbKwDazsItcPMfI2ieIltoevXnzSy_npsnSnUw-jMA==&uniplatform=NZKPT&language=CHS"
"中国建设信息化","2096-0824","10-1357/TU","住房和城乡建设部信息中心","0.582","0.357","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOXLwdhNIVJTHy8jTYP9E3MQnusASEbBY5mF9wLcjkg2Ja4BVIqKI5eML8ssZPxsXt7l9Cl_gp-9YQXQE5YBhTWOgwUVTKx5rfC_-wWNiOzBA==&uniplatform=NZKPT&language=CHS"
"Rock Mechanics Bulletin","2097-4671","10-1987/O3","中国岩石力学与工程学会;中国矿业大学(北京)","0.581","0.488","完全OA期刊","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOXLwdhNIVJTHy8jTYP9E3MQnusASEbBY5mF9wLcjkg2Ja4BVIqKI5eML8ssZPxsXsKrNPhrkRJH8lRrcGQ4Mw8LGRfjI8JRj2ILd9Si18XjA==&uniplatform=NZKPT&language=CHS"
"供水技术","1673-9353","12-1393/TU","天津市自来水集团有限公司","0.557","0.421","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOXLwdhNIVJTHy8jTYP9E3MQnusASEbBY5mF9wLcjkg2Ja4BVIqKI5eML8ssZPxsXuoieKUWLJU0Zox9OLWxOsrLXJ_TGMSpLPHdqsOd-bhzQ==&uniplatform=NZKPT&language=CHS"
"市政技术","1009-7767","11-4527/TU","中国市政工程协会;北京市政路桥股份有限公司;北京市政建设集团有限责任公司;北京市市政工程研究院","0.557","0.402","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOXLwdhNIVJTHy8jTYP9E3MQnusASEbBY5mF9wLcjkg2Ja4BVIqKI5eML8ssZPxsXsDLD9sVcA-aCbttcitT1fHUVMIdEdPSWekeOqUcaPlYA==&uniplatform=NZKPT&language=CHS"
"住宅科技","1002-0454","31-1407/TU","住房和城乡建设部科技与产业化发展中心(住房和城乡建设部住宅产业化促进中心);上海市房地产科学研究院","0.539","0.243","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOXLwdhNIVJTHy8jTYP9E3MQnusASEbBY5mF9wLcjkg2Ja4BVIqKI5eML8ssZPxsXvRTeXDk1CSUOyBDnqqQKN1L6kW5HY-M_220NOWeb5HSQ==&uniplatform=NZKPT&language=CHS"
"中国建筑防水","1007-497X","32-1462/TU","中国建筑防水协会;中建材防水材料公司;中国建筑材料科学研究总院苏州防水研究院","0.534","0.436","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOXLwdhNIVJTHy8jTYP9E3MQnusASEbBY5mF9wLcjkg2Ja4BVIqKI5eML8ssZPxsXvDN4gOLcFeJ1QyOOV4Flp2ap8OaS-CKXwlt8x2kfUmMA==&uniplatform=NZKPT&language=CHS"
"中国建材科技","1003-8965","11-2931/TU","中国建筑材料科学研究总院有限公司","0.528","0.341","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOXLwdhNIVJTHy8jTYP9E3MQnusASEbBY5mF9wLcjkg2Ja4BVIqKI5eML8ssZPxsXv90T01YTDBemlV3fTX9eGQ9WZs0JixCLWysjz56c9CEA==&uniplatform=NZKPT&language=CHS"
"勘察科学技术","1001-3946","13-1100/TF","中勘冶金勘察设计研究院有限责任公司","0.519","0.394","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOXLwdhNIVJTHy8jTYP9E3MQnusASEbBY5mF9wLcjkg2Ja4BVIqKI5eML8ssZPxsXu_AJCPBIoOxY8-UdWACM2w8--xy38a2qSSo69a5K7E4g==&uniplatform=NZKPT&language=CHS"
"土工基础","1004-3152","42-1151/TU","湖北省土木建筑学会;中科院武汉岩土力学研究所;武汉土木建筑学会","0.519","0.381","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN_1QDqmB_D-omVrI3jjlwdNNePYH2rGSFOf76nHrArZfYEXhbFVQbvbtHdbdjzrzj1NAnj4powSTBFXdrHCZOeDcZCSgayfKdcs_Yts4fjeA==&uniplatform=NZKPT&language=CHS"
"北方建筑","2096-2118","22-1419/TU","吉林省建筑科学研究设计院","0.502","0.322","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN_1QDqmB_D-omVrI3jjlwdNNePYH2rGSFOf76nHrArZfYEXhbFVQbvbtHdbdjzrzhyxU3Ui_ptOD-JiHb-hEUk-43TQ3xEK7lMQbh-Dvn9oA==&uniplatform=NZKPT&language=CHS"
"建设科技","1671-3915","11-4705/TU","住房和城乡建设部科技与产业化发展中心","0.477","0.291","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN_1QDqmB_D-omVrI3jjlwdNNePYH2rGSFOf76nHrArZfYEXhbFVQbvbtHdbdjzrzhRE7f7uBZ9pXoZIMO2ziaAYkMKtlOJIy7P292b54hnnA==&uniplatform=NZKPT&language=CHS"
"重庆建筑","1671-9107","50-1150/U","重庆市建筑科学研究院有限公司","0.475","0.297","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN_1QDqmB_D-omVrI3jjlwdNNePYH2rGSFOf76nHrArZfYEXhbFVQbvbtHdbdjzrzjsd6FFB0VO7Vfn75keLjOjAiNxv0l8i7rgTBF_BpIA8w==&uniplatform=NZKPT&language=CHS"
"建筑与文化","1672-4909","11-5058/Z","世界图书出版有限公司","0.472","0.183","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN_1QDqmB_D-omVrI3jjlwdNNePYH2rGSFOf76nHrArZfYEXhbFVQbvbtHdbdjzrzg81uuMf2c0uKwKia9S7KCFPPz4cfNGEEaxOgZo8f2Prg==&uniplatform=NZKPT&language=CHS"
"城市建筑","1673-0232","23-1528/TU","黑龙江科学技术出版社","0.456","0.201","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN_1QDqmB_D-omVrI3jjlwdNNePYH2rGSFOf76nHrArZfYEXhbFVQbvbtHdbdjzrzgj3rXquOVISSH1edLqXEYXSdbF4_P4010T83-pzxGUqA==&uniplatform=NZKPT&language=CHS"
"建材世界","1674-6066","42-1783/TU","武汉理工大学","0.456","0.311","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN_1QDqmB_D-omVrI3jjlwdNNePYH2rGSFOf76nHrArZfYEXhbFVQbvbtHdbdjzrzh1OY2tDKfxySqby_Gme8i9kUP_8PeEhWvNpPCV5MAItA==&uniplatform=NZKPT&language=CHS"
"ENGINEERING Structure and Civil Engineering","2095-2430","10-1023/X","高等教育出版社;中国工程院;同济大学","0.452","0.342","混合OA期刊","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN_1QDqmB_D-omVrI3jjlwdNNePYH2rGSFOf76nHrArZfYEXhbFVQbvbtHdbdjzrzjIUZiOHd-YYoDU_SxjzhEle2yCpUqo09SNIgnoZQdd6w==&uniplatform=NZKPT&language=CHS"
"城镇供水","1002-8420","11-1703/TU","中国城镇供水排水协会(会刊)","0.433","0.328","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN_1QDqmB_D-omVrI3jjlwdNNePYH2rGSFOf76nHrArZfYEXhbFVQbvbtHdbdjzrziM0Nm1F3Cf7IkCIIGeJfZrbq31EKW0EpnoMDXWc8INEw==&uniplatform=NZKPT&language=CHS"
"建筑","0577-7429","11-1405/TU","建筑杂志社有限公司","0.428","0.232","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN_1QDqmB_D-omVrI3jjlwdNNePYH2rGSFOf76nHrArZfYEXhbFVQbvbtHdbdjzrzhhrhx3dmbmLo6n6zBjYecb3fcrRXNEVyyGx-Sh3h4XmQ==&uniplatform=NZKPT&language=CHS"
"智能城市","2096-1936","21-1602/N","辽宁省科学技术情报研究所","0.419","0.253","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7ukCv2d15HCwi4qwJ0A7RAN5n-HW9FwgImMDsTtzq7O6PQ==&uniplatform=NZKPT&language=CHS"
"城市设计","2096-1235","10-1376/TU","清华大学","0.418","0.198","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7ukfzHYtEhT_WSlHBOGZJtYCHnKOBdBNbOJ0Tu1oEHjTWw==&uniplatform=NZKPT&language=CHS"
"建材技术与应用","1009-9441","14-1291/TU","山西职业技术学院","0.417","0.222","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7uk-Kt8kCuUYGKpM01a24lHkwokxjVOgiTNanUQonAm4Fg==&uniplatform=NZKPT&language=CHS"
"城市建筑空间","2097-1141","10-1813/TU","亚太建设科技信息研究院有限公司","0.410","0.184","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7umFy_kcICB0wapGjKdnq8fINAQduEA7bZJYJvfkhy4Ngg==&uniplatform=NZKPT&language=CHS"
"古建园林技术","1000-7237","11-2173/TU","北京《古建园林技术》杂志社有限公司","0.406","0.201","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7und52o4BOXJAv8YBQDQcTHtkePxrP8ExwboDsL0U0Xdpg==&uniplatform=NZKPT&language=CHS"
"浙江建筑","1008-3707","33-1102/TU","浙江省建筑设计研究院有限公司","0.400","0.236","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7ukCAo_Wye4V6c-kH1hLlrE28qsvawEGx0AF_3-kQ5C6xQ==&uniplatform=NZKPT&language=CHS"
"建筑设计管理","1673-1093","21-1311/TU","中国建筑东北设计研究院有限公司;中国勘察设计协会","0.393","0.196","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7umP7OmRvjCym97dICkPlmwqxYm-HECA3aBGUfnnp4y7RQ==&uniplatform=NZKPT&language=CHS"
"未来城市设计与运营","2097-0994","10-1769/TU","中国城市科学研究会","0.392","0.197","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7ulDbZFAfEybxLhr5pHsoHP5A1s8sy9gbDM8Z9xXhp4t4A==&uniplatform=NZKPT&language=CHS"
"建筑安全","1004-552X","51-1390/TU","四川华西集团有限公司","0.391","0.245","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7umRm8CiicPunW0ZTBx1S77BYxJ7HnKdB-i-wrQoZMSzww==&uniplatform=NZKPT&language=CHS"
"室内设计与装修","1005-7374","32-1372/TS","南京林业大学","0.374","0.205","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7ule4UIrSlWOvlNdmhws0ym1u_84cAkXFCQlDP3rrr8vpA==&uniplatform=NZKPT&language=CHS"
"城市燃气","1671-5152","11-4756/TU","中国城市燃气协会","0.370","0.238","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7umwsxg0bNP3OfYTa_Gf9dKIF2cHHhV8CFI5Uu8sLjkj3A==&uniplatform=NZKPT&language=CHS"
"城市开发","1002-3062","11-2373/TU","北京科学技术出版社有限公司","0.368","0.138","增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7ukrlGJqr26UdfNoctDOZnTpsSIn1EN4ySTO0ixuQdvVaw==&uniplatform=NZKPT&language=CHS"
"工程建设与设计","1007-9467","11-3914/TU","国家机械工业局工程建设中心;中国机械工业勘察设计协会;中国中元国际工程有限公司","0.364","0.262","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7um5WAQSGMJa-ChWZAXrrw-9N4qIlCAA2CpCuhL4ZIKI9w==&uniplatform=NZKPT&language=CHS"
"工程技术研究","2096-2789","44-1727/N","广州市金属学会;广东工程职业技术学院","0.343","0.230","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7umyeW2RtYqq_FbbomU5Si1gpSn5DQZ9uji4WnVMNS6oIw==&uniplatform=NZKPT&language=CHS"
"中国勘察设计","1006-9607","11-3733/TU","中国勘察设计协会","0.339","0.169","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7umGv-vtaflfOA5Shm-Y6Reuz_eHdq23sK01ybMlUU50WA==&uniplatform=NZKPT&language=CHS"
"工程与建设","1673-5781","34-1296/N","时代出版传媒股份有限公司;安徽省工程建设标准设计办公室","0.338","0.219","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7ullyx8zEv2zniwDObQHB2J7p4YWrRQ1gtelizt5andCyw==&uniplatform=NZKPT&language=CHS"
"低温建筑技术","1001-6864","23-1170/TU","黑龙江省寒地建筑科学研究院;哈尔滨工业大学","0.335","0.183","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7um49t5_pzRxD4ryA0qqJe4GNPB_doMauuOqWwZ-pN9aUQ==&uniplatform=NZKPT&language=CHS"
"建设机械技术与管理","1004-0005","43-1185/TU","国家建筑城建机械质量监督检验中心","0.333","0.221","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7uki1N2AFEpyh5LYgiJZh7ZFzEz1_xWo02WNX_mvEDyImw==&uniplatform=NZKPT&language=CHS"
"四川建筑","1007-8983","51-1133/TU","四川省土木建筑学会;四川华西集团有限公司","0.328","0.207","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7unBw0msUgR2X-P7eF3nwxd4srFJ6aCHin0WVjAC3yxROA==&uniplatform=NZKPT&language=CHS"
"建筑技艺(中英文)","1674-6635","11-5792/TU","亚太建设科技信息研究院有限公司","0.318","0.216","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7ukuHp8Slzb46i_591QVoci6cVspDGzKvgpzboxuhAGAqg==&uniplatform=NZKPT&language=CHS"
"广东建材","1009-4806","44-1249/TU","广东省建筑材料研究院有限公司","0.315","0.214","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPaR-YyYH-JlB8uhxYY08JPF76sbV7c8-xDL3TyMw-lyj49P95E-QAXbxgZYnHl7ukpGv8owhGC35zWizCg82dvTQ5BlZBeHof7b-V8QOCCJg==&uniplatform=NZKPT&language=CHS"
"河北建筑工程学院学报","1008-4185","13-1252/TU","河北建筑工程学院","0.315","0.199","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMSUZkcJT4STGaljsHhH93VuFZ3iEJARvc2UyV4VYxX4-GvUIMXO0k2-3-IyfpvgASLHs9RPYxwGu_U9L7ZzGldlK-IM5dosdB5yVzCD06tZg==&uniplatform=NZKPT&language=CHS"
