title,issn,cn,sponsor,compound_if,comprehensive_if,tags,major_categories,detail_url
"同舟共进","1006-3811","44-1036/D","政协广东省委员会","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMfx-rpUU0XnsP_hUPS-5dwGk3VKcP_O5EpalX-fFMDKGxsUVnudM4Ek9PNwvgUZ1fopzFVF2UIDdh7oq2eia9GixxLZvFPyOI3pKwx-LnbWQ==&uniplatform=NZKPT&language=CHS"
"铜陵市人民政府公报","","","铜陵市人民政府办公室","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMfx-rpUU0XnsP_hUPS-5dwGk3VKcP_O5EpalX-fFMDKGxsUVnudM4Ek9PNwvgUZ1fpXAs4efJy_Hfsajp3XESFmgqEMgKQHjJPiyEkpmLz7g==&uniplatform=NZKPT&language=CHS"
"铜陵学院学报","1672-0547","34-1258/Z","铜陵学院","0.347","0.158","","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN0NL54dWu6XmUqjSTdzj--7RLDQCa-R6JyI0tFYi5v2Fm1MOO9lpA1Ffzh5dnQqjRjKykuoeHmivIWTHSBvFxzq4_TMhug3lzQJrzFJTl7lA==&uniplatform=NZKPT&language=CHS"
"铜仁学院学报","1673-9639","52-1146/G4","铜仁学院","0.370","0.154","网络首发","基础科学|社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM-dtlaTqbGJLFPFGAq78j7iBFk6_TSVKnK-q7e8IhM8RvW7LqEfxFpFxbi2b1I3C5WtJYG1-hBngSDDkA3fLOnSwXj3lZ7ULpb0ftTPBN38A==&uniplatform=NZKPT&language=CHS"
"铜业工程","1009-3842","36-1237/TF","江西铜业集团有限公司","1.595","1.487","网络首发","工程科技I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMM0NUjmdKoS4hWzRyoNmPhbVrpgAq05HOtthwjRWg2ZoW-172Pwo9fAcotL8R81WBPqh3PYlbCV5FSfUOCIXs-70EW0uKkPI1PFfpcOeNatQ==&uniplatform=NZKPT&language=CHS"
"统计理论与实践","2096-8647","41-1458/C8","河南省社会科学院","0.980","0.504","","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO7FyHh69_IlIanYIHaRMzOr3x4RN_A6ngA4sUBnYMwwg4YgAMYuUKEOT22q666v8TiRbFpJJc4L1mOrF_uyHhGQ318kITw2ZcdgExapFH0-w==&uniplatform=NZKPT&language=CHS"
"统计学报","2096-7411","14-1400/C8","山西财经大学","3.882","2.859","网络首发","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMsZyflc7irvxIGQsvQWIt8WgoUr8ylMRvw1hw5VVgvoHH8MSaIiOx2alstQDuNZg2gxwK-w6YAhOgUTPKjp26c2EUK3KpwewO-U-r8B0zJAw==&uniplatform=NZKPT&language=CHS"
"统计与决策","1002-6487","42-1009/C","湖北长江报刊传媒(集团)有限公司","8.079","3.909","网络首发","医药卫生科技|社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIND5aHZhwp7sCVRWoYvIylMwyLF1-g4bYW0UbwQ24DS_NGQQ8C3zYSurfJz06jpuyn7JqbUSqPLyTI6qzABWEmy5MrA-YoFRmcI6MUtNGlvEQ==&uniplatform=NZKPT&language=CHS"
"统一论坛(中英文对照)","1003-0484","11-2546/D","中国和平统一促进会","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMfx-rpUU0XnsP_hUPS-5dwGk3VKcP_O5EpalX-fFMDKGxsUVnudM4Ek9PNwvgUZ1cncgpAgn6DcVBmwQxxhwvif4LAj6wY1c8gkFLe0wGO7A==&uniplatform=NZKPT&language=CHS"
"统一战线学研究","2096-3378","50-1215/C","重庆社会主义学院","2.706","1.785","网络首发","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOKrv9oiKaPzD887hx9-Ed7-jULJ9I2M64AzSdYw2Ue-fQhfgf4eZqJyu-ERrlWsLHSoZkXjxsnZO6cH3OCT0C0tODpUVdlxLo_eMEMUiZsbg==&uniplatform=NZKPT&language=CHS"
"投资北京","1672-7452","11-5205/F","北京出版集团有限责任公司","","","","社会科学II|经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPcMrnM1wF-c18jDWoTmsOTy7SCMj7HqITSX1bxWYyBwwXbtaD7f3IGs5Wbj0AMiTLDgAQnUg_KY4Uzorp3XhsB4KONprpNZYUE_GnFX2UqJA==&uniplatform=NZKPT&language=CHS"
